NOME_ORIGEM,NOME_DEST,flowOD,flowDO,Dist,COD_ORIGEM,COD_DESTINO
Sambodromo,4550804,100,0,1,4550801,4550804
Sambodromo,4550805,45,0,1,4550801,4550805
Sambodromo,4550806,46,0,1,4550801,4550806
Sambodromo,4552601,486,0,1,4550801,4552601
Sambodromo,4550701,296,0,1,4550801,4550701
Sambodromo,4550702,146,0,1,4550801,4550702
Sambodromo,4550703,80,0,1,4550801,4550703
Sambodromo,4550704,256,0,1,4550801,4550704
Sambodromo,4550705,98,0,1,4550801,4550705
Sambodromo,4550706,173,0,1,4550801,4550706
Sambodromo,4550707,123,0,1,4550801,4550707
Sambodromo,4550708,181,0,1,4550801,4550708
Sambodromo,4550709,185,0,1,4550801,4550709
Sambodromo,4550710,73,0,1,4550801,4550710
Sambodromo,4550711,65,0,1,4550801,4550711
Sambodromo,4550602,13,0,1,4550801,4550602
Sambodromo,4550603,22,0,1,4550801,4550603
Sambodromo,4550604,21,0,1,4550801,4550604
Sambodromo,4550605,62,0,1,4550801,4550605
Sambodromo,4552802,33,0,1,4550801,4552802
Sambodromo,4552803,18,0,1,4550801,4552803
Sambodromo,4550902,9,0,1,4550801,4550902
Piranhao,4550801,5,0,1,4550802,4550801
Piranhao,4550802,605,0,1,4550802,4550802
Piranhao,4550803,15,0,1,4550802,4550803
Piranhao,4550804,28,0,1,4550802,4550804
Piranhao,4550805,19,0,1,4550802,4550805
Piranhao,4550806,18,0,1,4550802,4550806
Piranhao,4552601,200,0,1,4550802,4552601
Piranhao,4550701,119,0,1,4550802,4550701
Piranhao,4550702,45,0,1,4550802,4550702
Piranhao,4550703,29,0,1,4550802,4550703
Piranhao,4550704,95,0,1,4550802,4550704
Piranhao,4550705,41,0,1,4550802,4550705
Piranhao,4550706,82,0,1,4550802,4550706
Piranhao,4550707,42,0,1,4550802,4550707
Piranhao,4550708,84,0,1,4550802,4550708
Piranhao,4550709,55,0,1,4550802,4550709
Piranhao,4550710,31,0,1,4550802,4550710
