lat,long,NOME_ZONAS,POP96,ZONA_TRAFE,DOMIC96,RA,AREA,POP0,POP2,POP10,POP15,POP20,POP40
670958.49,7467958.84,Cascadura 2,17279,4552020,4924,15,1905191.92,0.03,0.12,0.09,0.07,0.3,0.4
669549.14,7468253.17,Campinho,9558,4552021,2966,15,982653.41,0.03,0.11,0.09,0.07,0.31,0.4
673759.39,7462720.6,Estrada Tres Rios,1886,4552101,478,16,15355369.13,0.03,0.12,0.09,0.07,0.31,0.38
672275.36,7459573.56,Rua Araticum,28106,4552102,8381,16,8505793.1,0.03,0.12,0.09,0.07,0.31,0.38
669142.67,7458519.36,Av. Canal do anil,2496,4552103,721,16,3266680.21,0.03,0.11,0.09,0.08,0.32,0.38
669069.63,7460075.38,Gardenia Azul,13056,4552104,3812,16,1262537.14,0.04,0.16,0.1,0.08,0.38,0.24
670044.88,7459849.64,Anil 1,9373,4552105,2650,16,2169736.05,0.03,0.11,0.09,0.08,0.32,0.38
670887.33,7460955.09,Anil 2,10572,4552106,3014,16,1305383.77,0.03,0.11,0.09,0.08,0.32,0.38
670786.83,7462280,Rua Tirol,18557,4552107,5961,16,1913082.73,0.03,0.13,0.1,0.07,0.34,0.34
670753.19,7463969.69,Pau Ferro,12198,4552108,3579,16,5659689.63,0.03,0.13,0.1,0.07,0.34,0.34
669240.29,7464934.9,Tanque,12299,4552109,3792,16,3483321.3,0.03,0.12,0.09,0.07,0.32,0.36
669128.98,7463709.33,Pechincha 1,13616,4552110,4350,16,1657259,0.03,0.11,0.09,0.07,0.32,0.39
669221.66,7461567.12,Estr. do Gabinal,21221,4552111,6480,16,2726237.68,0.03,0.13,0.1,0.07,0.34,0.34
667834.75,7461314.4,Cidade de Deus,36320,4552112,9734,16,1334311.62,0.04,0.16,0.11,0.08,0.34,0.28
666862.86,7459622.58,Centro Metropolitano,10404,4552113,2906,16,7820287.79,0.03,0.13,0.1,0.07,0.34,0.34
665355.19,7460879.06,Curicica,25142,4552114,6947,16,3395022.58,0.03,0.13,0.1,0.07,0.34,0.32
666542.31,7462398.08,Taquara 1,6881,4552115,1997,16,1723420.5,0.03,0.11,0.09,0.07,0.33,0.37
667431.67,7463156.75,Tindiba,28605,4552116,8800,16,2370270.97,0.03,0.13,0.1,0.07,0.34,0.34
668350.84,7462795.36,Pechincha 2,14243,4552117,4544,16,1308581.35,0.03,0.11,0.09,0.07,0.32,0.39
665828.25,7463544.46,Taquara 2,15096,4552118,4430,16,1710885.7,0.03,0.11,0.09,0.07,0.33,0.37
665968.22,7464473.39,Estr. do Rio Grande,15416,4552119,4599,16,2014786.72,0.03,0.13,0.1,0.07,0.34,0.34
667164.01,7465457.72,Estr. do Cafunda,15531,4552120,4768,16,2310551.88,0.03,0.13,0.1,0.07,0.34,0.34
664352.01,7465467,Estrada do Boiuna,20490,4552121,5884,16,5605789.93,0.03,0.13,0.1,0.07,0.34,0.34
660015.68,7463587.68,Estr. Pau da Fome,6545,4552122,1860,16,22205417.58,0.03,0.13,0.1,0.07,0.34,0.34
