Source,Dest,flowSD,flowDS,Distance,geoSource,geoDest
4108304,3300407,800,608,0,FOZ DO IGUACU,BARRA MANSA
4108304,3509502,3772,3672,0,FOZ DO IGUACU,CAMPINAS
4108304,5002704,195,178,0,FOZ DO IGUACU,CAMPO GRANDE
4108304,5103403,270,414,0,FOZ DO IGUACU,CUIABA
4108304,3136702,190,292,0,FOZ DO IGUACU,JUIZ DE FORA
4108304,3304201,481,200,0,FOZ DO IGUACU,RESENDE
4108304,5107602,148,240,0,FOZ DO IGUACU,RONDONOPOLIS
4108304,3549904,2287,5165,0,FOZ DO IGUACU,SAO JOSE DOS CAMPOS
4108304,3306305,75,54,0,FOZ DO IGUACU,VOLTA REDONDA
2606002,3127701,401,375,0,GARANHUNS,GOV VALADARES
2606002,2704302,5247,5157,0,GARANHUNS,MACEIO
2606002,2408102,460,630,0,GARANHUNS,NATAL
2606002,3549904,315,273,0,GARANHUNS,SAO JOSE DOS CAMPOS
2606002,3168606,334,297,0,GARANHUNS,TEOFILO OTONI
2606002,2933307,501,446,0,GARANHUNS,VITORIA DA CONQUISTA
2606002,3306305,35,30,0,GARANHUNS,VOLTA REDONDA
5208707,3103504,8349,8808,0,GOIANIA,ARAGUARI
5208707,3505500,7376,7850,0,GOIANIA,BARRETOS
5208707,3509502,13802,13283,0,GOIANIA,CAMPINAS
5208707,4104808,1274,1316,0,GOIANIA,CASCAVEL
5208707,4205407,1484,939,0,GOIANIA,FLORIANOPOLIS
5208707,4108304,2567,2797,0,GOIANIA,FOZ DO IGUACU
5208707,3516200,6153,6708,0,GOIANIA,FRANCA
5208707,4113700,4244,4466,0,GOIANIA,LONDRINA
5208707,4115200,4770,5192,0,GOIANIA,MARINGA
5208707,1721000,2517,2718,0,GOIANIA,PALMAS
5208707,1100205,2894,3598,0,GOIANIA,PORTO VELHO
5208707,5107602,10219,10408,0,GOIANIA,RONDONOPOLIS
5208707,3549805,12413,14975,0,GOIANIA,SAO JOSE DO RIO PRETO
5208707,2111300,2881,2790,0,GOIANIA,SAO LUIS
5208707,3170107,13561,14193,0,GOIANIA,UBERABA
5208707,3170206,41004,42755,0,GOIANIA,UBERLANDIA
5208707,2933307,248,180,0,GOIANIA,VITORIA DA CONQUISTA
3127701,2800308,179,229,0,GOV VALADARES,ARACAJU
3127701,4104808,100,24,0,GOV VALADARES,CASCAVEL
3127701,5103403,746,559,0,GOV VALADARES,CUIABA
3127701,4108304,138,164,0,GOV VALADARES,FOZ DO IGUACU
3127701,3516200,72,95,0,GOV VALADARES,FRANCA
3127701,5208707,235,182,0,GOV VALADARES,GOIANIA
3127701,2914802,348,499,0,GOV VALADARES,ITABUNA
3127701,2507507,55,5,0,GOV VALADARES,JOAO PESSOA
3127701,4113700,117,101,0,GOV VALADARES,LONDRINA
3127701,4115200,133,144,0,GOV VALADARES,MARINGA
3127701,2408102,6,19,0,GOV VALADARES,NATAL
3127701,2611101,96,323,0,GOV VALADARES,PETROLINA
3127701,1100205,188,121,0,GOV VALADARES,PORTO VELHO
3127701,5107602,187,239,0,GOV VALADARES,RONDONOPOLIS
3127701,2931350,692,460,0,GOV VALADARES,TEIXEIRA DE FREITAS
3127701,3205309,36624,38595,0,GOV VALADARES,VITORIA
3127701,2933307,317,419,0,GOV VALADARES,VITORIA DA CONQUISTA
2914802,4108304,86,118,0,ITABUNA,FOZ DO IGUACU
2914802,3303302,184,155,0,ITABUNA,NITEROI
2914802,2931350,3288,3889,0,ITABUNA,TEIXEIRA DE FREITAS
2914802,3205309,11423,11605,0,ITABUNA,VITORIA
4208203,4205407,16364,16848,0,ITAJAI,FLORIANOPOLIS
4208203,4209102,15238,14898,0,ITAJAI,JOINVILLE
2507507,2914802,57,11,0,JOAO PESSOA,ITABUNA
2507507,2408003,4194,3186,0,JOAO PESSOA,MOSSORO
2507507,3168606,83,53,0,JOAO PESSOA,TEOFILO OTONI
2507507,3205309,81,224,0,JOAO PESSOA,VITORIA
4209102,4202404,2433,4198,0,JOINVILLE,BLUMENAU
4209102,4104808,6617,4317,0,JOINVILLE,CASCAVEL
4209102,4205407,9625,10490,0,JOINVILLE,FLORIANOPOLIS
4209102,4108304,2510,2737,0,JOINVILLE,FOZ DO IGUACU
4209102,3127701,66,9,0,JOINVILLE,GOV VALADARES
4209102,4119905,2321,2680,0,JOINVILLE,PONTA GROSSA
